Dosya,Şirket Adı,Web Sitesi,Eksik Link Sayısı,Eksik Linkler
despro.json,Despro,https://despro.com.tr,4,"linkedin, x, youtube, github"
dogus.json,Dogus,https://dogus.com.tr,4,"x, instagram, facebook, github"
evant.json,Evant,https://evant.com.tr,4,"x, facebook, youtube, github"
experteam.json,Experteam,https://experteam.com.tr,4,"x, instagram, facebook, github"
globalbilgi.json,Globalbilgi,https://globalbilgi.com.tr,4,"x, facebook, youtube, github"
govtek.json,Govtek,https://govtek.com.tr,4,"linkedin, instagram, youtube, github"
isnetservis.json,İsnetservis,https://isnetservis.com.tr,4,"instagram, facebook, youtube, github"
issd.json,İssd,https://issd.com.tr,4,"x, instagram, facebook, github"
ithinka.json,İthinka,https://ithinka.com,4,"x, facebook, youtube, github"
itss.json,İtss,https://itss.com.tr,4,"x, instagram, youtube, github"
kafein.json,Kafein,https://kafein.com.tr,4,"x, facebook, youtube, github"
komtas.json,Komtas,https://komtas.com,4,"x, facebook, youtube, github"
megabilgisayar.json,Megabilgisayar,https://megabilgisayar.com.tr,4,"x, instagram, youtube, github"
milsoftas.json,Milsoftas,https://milsoftas.com.tr,4,"linkedin, instagram, youtube, github"
nexteknoloji.json,Nexteknoloji,https://nexteknoloji.com,4,"x, facebook, youtube, github"
normdata.json,Normdata,https://normdata.com.tr,4,"instagram, facebook, youtube, github"
primeteknoloji.json,Primeteknoloji,https://primeteknoloji.com.tr,4,"x, facebook, youtube, github"
pro-sistem.json,Pro Sistem,https://pro-sistem.com,4,"linkedin, instagram, youtube, github"
proya.json,Proya,https://proya.net,4,"x, instagram, facebook, github"
sekom.json,Sekom,https://sekom.com.tr,4,"x, instagram, facebook, github"
smartmind.json,Smartmind,https://smartmind.com.tr,4,"x, instagram, facebook, github"
soitron.json,Soitron,https://soitron.com.tr,4,"x, instagram, facebook, github"
tdebilgisayar.json,Tdebilgisayar,https://tdebilgisayar.com.tr,4,"x, facebook, youtube, github"
teknoraks.json,Teknoraks,https://teknoraks.com.tr,4,"x, facebook, youtube, github"
telcoset.json,Telcoset,https://telcoset.com.tr,4,"x, facebook, youtube, github"
tttech-auto.json,Tttech Auto,https://tttech-auto.com,4,"x, instagram, facebook, github"
vargonen.json,Vargonen,https://vargonen.com,4,"instagram, facebook, youtube, github"
verisis.json,Verisis,https://verisis.com.tr,4,"x, instagram, youtube, github"
verytech.json,Verytech,https://verytech.com.tr,4,"x, facebook, youtube, github"
xteknoloji.json,Xteknoloji,https://xteknoloji.com.tr,4,"x, facebook, youtube, github"
yasarbilgi.json,Yasarbilgi,https://yasarbilgi.com.tr,4,"x, facebook, youtube, github"
yongatek.json,Yongatek,https://yongatek.com,4,"x, instagram, facebook, github"
agc-yazilim.json,AGC Yazılım,https://www.agcyazilim.com,3,"instagram, youtube, github"
airadio.json,Airadio,https://airadio.com,3,"instagram, youtube, github"
akpinarbilisim.json,Akpinar Bilişim,https://akpinarbilisim.com.tr,3,"x, youtube, github"
aktekbilisim.json,Aktek Bilişim,https://aktekbilisim.com,3,"x, facebook, github"
altaygrup.json,Altay Grup,https://altaygrup.com,3,"instagram, youtube, github"
ankarabt.json,Ankara BT,https://ankarabt.com,3,"x, facebook, github"
arya-it.json,Arya IT,https://arya-it.com,3,"x, youtube, github"
atasayarteknoloji.json,Atasay Ar Teknoloji,https://atasayarteknoloji.com,3,"x, facebook, github"
ayesas.json,Ayesas,https://ayesas.com,3,"facebook, youtube, github"
birlesikuzmanlar-it.json,Birleşik Uzmanlar IT,https://birlesikuzmanlar-it.com,3,"x, facebook, github"
bnkgrup.json,BNK Grup,https://bnkgrup.com,3,"x, youtube, github"
caretta.json,Caretta,https://caretta.net,3,"instagram, youtube, github"
cesa.json,Cesa,https://cesa.com.tr,3,"x, instagram, github"
compro.json,Compro,https://compro.com.tr,3,"facebook, youtube, github"
cozumtek.json,Cozumtek,https://cozumtek.com,3,"facebook, youtube, github"
crmakademi.json,Crmakademi,https://crmakademi.net,3,"instagram, facebook, github"
dekatechs.json,Dekatechs,https://dekatechs.com,3,"instagram, youtube, github"
digilera.json,Digilera,https://digilera.com,3,"x, youtube, github"
e-cozum.json,E Cozum,https://e-cozum.com.tr,3,"instagram, youtube, github"
efb-elektronik.json,Efb Elektronik,https://efb-elektronik.com.tr,3,"x, instagram, github"
elcobil.json,Elcobil,https://elcobil.com,3,"instagram, youtube, github"
endeksbilisim.json,Endeksbilisim,https://endeksbilisim.com.tr,3,"x, youtube, github"
endpoint-labs.json,Endpoint Labs,https://endpoint-labs.com,3,"x, instagram, youtube"
enqura.json,Enqura,https://enqura.com.tr,3,"x, facebook, github"
erben.json,Erben,https://erben.com.tr,3,"x, youtube, github"
erkagrubu.json,Erkagrubu,https://erkagrubu.com,3,"x, facebook, github"
estr.json,Estr,https://estr.com,3,"facebook, youtube, github"
fark.json,Fark,https://fark.com.tr,3,"linkedin, youtube, github"
fga.json,Fga,https://fga.com.tr,3,"linkedin, x, github"
figensoft.json,Figensoft,https://figensoft.com,3,"linkedin, youtube, github"
forte.json,Forte,https://forte.com.tr,3,"facebook, youtube, github"
gesk.json,Gesk,https://gesk.com.tr,3,"instagram, youtube, github"
giltas.json,Giltas,https://giltas.com.tr,3,"x, youtube, github"
glasshouse.json,Glasshouse,https://glasshouse.com.tr,3,"x, facebook, github"
goateknoloji.json,Goateknoloji,https://goateknoloji.com,3,"x, youtube, github"
incept.json,İncept,https://incept.com.tr,3,"x, facebook, github"
infodrom.json,İnfodrom,https://infodrom.com.tr,3,"x, youtube, github"
intercomp.json,İntercomp,https://intercomp.com.tr,3,"facebook, youtube, github"
intron.json,İntron,https://intron.com.tr,3,"instagram, youtube, github"
inventiv.json,İnventiv,https://inventiv.com.tr/tr,3,"instagram, youtube, github"
invio.json,İnvio,https://invio.com,3,"instagram, youtube, github"
kobikod.json,Kobikod,https://kobikod.com.tr,3,"facebook, youtube, github"
linktera.json,Linktera,https://linktera.com,3,"facebook, youtube, github"
ln.json,Ln,https://ln.com.tr,3,"x, facebook, github"
milleni.json,Milleni,https://milleni.com.tr,3,"x, youtube, github"
mistacoglu.json,Mistacoglu,https://mistacoglu.com.tr,3,"x, youtube, github"
